epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1506,0.57815,2.35466,0.9979,0.63231,0.54569,0.53688,0.51102,0.33301,1.23527,0.81868,0.0668618,9.94444e-06,9.94444e-06
2,58.7096,0.42587,1.18485,0.9021,0.6991,0.82204,0.77604,0.75624,0.26669,0.75167,0.79367,0.0335385,1.99396e-05,1.99396e-05
3,87.1355,0.36879,0.9161,0.87582,0.72124,0.90845,0.83158,0.8116,0.25601,0.63163,0.79051,0.0002151,2.99152e-05,2.99152e-05
4,115.25,0.34816,0.81695,0.86966,0.71249,0.93594,0.84464,0.82787,0.23614,0.59662,0.78201,2.99341e-05,2.99341e-05,2.99341e-05
5,143.307,0.33968,0.74727,0.86447,0.74734,0.95319,0.87779,0.86171,0.22641,0.53717,0.77926,2.98829e-05,2.98829e-05,2.98829e-05
6,171.499,0.32478,0.71822,0.86192,0.76862,0.94795,0.88042,0.86593,0.23733,0.56402,0.78129,2.98172e-05,2.98172e-05,2.98172e-05
7,199.777,0.32393,0.7,0.86103,0.74068,0.98174,0.87743,0.86238,0.2242,0.51269,0.77692,2.9737e-05,2.9737e-05,2.9737e-05
8,228.386,0.31712,0.6811,0.85737,0.74191,0.97376,0.87902,0.86707,0.21787,0.52384,0.77537,2.96424e-05,2.96424e-05,2.96424e-05
9,256.932,0.30582,0.65503,0.85626,0.7329,0.98077,0.87625,0.86759,0.207,0.49585,0.77287,2.95335e-05,2.95335e-05,2.95335e-05
10,285.272,0.3046,0.63288,0.85497,0.75215,0.99545,0.89191,0.88389,0.20733,0.50205,0.77207,2.94104e-05,2.94104e-05,2.94104e-05
11,313.932,0.29636,0.62131,0.85663,0.75658,0.98984,0.88893,0.87682,0.20453,0.47757,0.77358,2.92732e-05,2.92732e-05,2.92732e-05
12,342.269,0.29138,0.60551,0.84646,0.74243,0.99454,0.89273,0.88469,0.19863,0.49024,0.77069,2.91221e-05,2.91221e-05,2.91221e-05
13,370.805,0.28708,0.59719,0.84701,0.75772,0.96805,0.88235,0.8726,0.21582,0.46937,0.77631,2.89572e-05,2.89572e-05,2.89572e-05
14,399.2,0.27961,0.58307,0.84858,0.76016,0.99071,0.88723,0.87929,0.19583,0.45783,0.77043,2.87787e-05,2.87787e-05,2.87787e-05
15,427.553,0.28369,0.57406,0.84956,0.75593,0.98549,0.88748,0.87963,0.20043,0.46139,0.77092,2.85867e-05,2.85867e-05,2.85867e-05
16,455.913,0.27977,0.57797,0.84893,0.75884,0.99114,0.88915,0.88082,0.19413,0.44966,0.76904,2.83814e-05,2.83814e-05,2.83814e-05
17,484.281,0.27518,0.56377,0.84583,0.7513,0.99144,0.8905,0.8829,0.19694,0.46113,0.77018,2.81632e-05,2.81632e-05,2.81632e-05
18,512.459,0.27531,0.57007,0.84799,0.77024,0.98595,0.88972,0.88274,0.20351,0.45987,0.77,2.7932e-05,2.7932e-05,2.7932e-05
19,540.937,0.27079,0.56028,0.84254,0.75823,0.9897,0.90181,0.8961,0.19724,0.45954,0.76993,2.76883e-05,2.76883e-05,2.76883e-05
20,569.36,0.26636,0.54167,0.8418,0.77157,0.9915,0.89824,0.89118,0.20875,0.45944,0.77151,2.74321e-05,2.74321e-05,2.74321e-05
21,597.772,0.27085,0.55395,0.8452,0.76743,0.9882,0.90353,0.89919,0.18042,0.43343,0.76587,2.71639e-05,2.71639e-05,2.71639e-05
22,626.591,0.26371,0.53072,0.84376,0.76654,0.98781,0.90194,0.89465,0.19901,0.47337,0.77032,2.68838e-05,2.68838e-05,2.68838e-05
23,655.221,0.26144,0.54699,0.84061,0.76695,0.9904,0.89171,0.88701,0.18103,0.43518,0.76554,2.65921e-05,2.65921e-05,2.65921e-05
24,684.052,0.25712,0.52885,0.84084,0.76029,0.99235,0.89591,0.88958,0.18387,0.44529,0.76709,2.62891e-05,2.62891e-05,2.62891e-05
25,712.585,0.26113,0.52833,0.83971,0.76824,0.98302,0.90597,0.89846,0.17794,0.43278,0.76545,2.59752e-05,2.59752e-05,2.59752e-05
26,740.801,0.25862,0.51892,0.8383,0.77365,0.9871,0.90131,0.8941,0.18668,0.43714,0.76832,2.56505e-05,2.56505e-05,2.56505e-05
27,769.101,0.25677,0.52266,0.84285,0.77212,0.99287,0.9033,0.89635,0.17814,0.43219,0.76484,2.53155e-05,2.53155e-05,2.53155e-05
28,797.044,0.25112,0.50564,0.83538,0.76495,0.98385,0.90472,0.89898,0.17902,0.42971,0.76496,2.49705e-05,2.49705e-05,2.49705e-05
29,825.094,0.24976,0.513,0.83391,0.78769,0.97712,0.90478,0.89933,0.18208,0.41764,0.76788,2.46157e-05,2.46157e-05,2.46157e-05
