name,dl_name,dl_name_en
보령부스파정 5mg,보령부스파정 5mg,Buspar Tab. 5mg Boryung
뮤테란캡슐 100mg,뮤테란캡슐 100mg,Muteran Cap. 100mg
일양하이트린정 2mg,일양하이트린정 2mg,Hytrin Tab. 2mg Ilyang
기넥신에프정(은행엽엑스)(수출용),기넥신에프정(은행엽엑스)(수출용),Ginexin-F Tab.
무코스타정(레바미피드)(비매품),무코스타정(레바미피드)(비매품),Mucosta Tab.
알드린정,알드린정,Aldrin Tab.
뉴로메드정(옥시라세탐),뉴로메드정(옥시라세탐),Neuromed Tab. 800mg
타이레놀정500mg,타이레놀정500mg,Tylenol Tab. 500mg
에어탈정(아세클로페낙),에어탈정(아세클로페낙),Airtal Tab.
삼남건조수산화알루미늄겔정,삼남건조수산화알루미늄겔정,Dried Aluminium Hydroxide Gel Tab. Samnam
타이레놀이알서방정(아세트아미노펜)(수출용),타이레놀이알서방정(아세트아미노펜)(수출용),Tylenol 8 hours ER Tab.
삐콤씨에프정 618.6mg/병,삐콤씨에프정 618.6mg/병,Beecom-CF Tab.
조인스정 200mg,조인스정 200mg,Joins Tab.
쎄로켈정 100mg,쎄로켈정 100mg,SEROQUEL Tab. 100mg
리렉스펜정 300mg/PTP,리렉스펜정 300mg/PTP,Lirexpen Tab.
아빌리파이정 10mg,아빌리파이정 10mg,Abilify Tab.10mg
자이프렉사정 2.5mg,,
다보타민큐정 10mg/병,다보타민큐정 10mg/병,Dabotamin Q Tab.
써스펜8시간이알서방정 650mg,써스펜8시간이알서방정 650mg,Suspen 8 hours ER Tab.
에빅사정(메만틴염산염)(비매품),에빅사정(메만틴염산염)(비매품),Ebixa Tab.
리피토정 20mg,리피토정 20mg,Lipitor Tab. 20mg
크레스토정 20mg,크레스토정 20mg,Crestor Tab. 20mg
가바토파정 100mg,가바토파정 100mg,Gabatopa Tab. 100mg
동아가바펜틴정 800mg,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A
오마코연질캡슐(오메가-3-산에틸에스테르90),오마코연질캡슐(오메가-3-산에틸에스테르90),Omacor Soft Cap.
란스톤엘에프디티정 30mg,란스톤엘에프디티정 30mg,Lanston LFDT Tab. 30mg
리리카캡슐 150mg,리리카캡슐 150mg,Lyrica Cap. 150mg
종근당글리아티린연질캡슐(콜린알포세레이트) ,종근당글리아티린연질캡슐(콜린알포세레이트) ,Chongkundang Gliatirin Soft Cap.
콜리네이트연질캡슐 400mg,콜리네이트연질캡슐 400mg,Cholinate Soft Cap.
트루비타정 60mg/병,트루비타정 60mg/병,Truvita Tab.
스토가정 10mg,스토가정 10mg,Stogar Tab. 10mg
노바스크정 5mg,노바스크정 5mg,Norvasc Tab. 5mg
마도파정,마도파정,Madopar Tab.
플라빅스정 75mg,플라빅스정 75mg,Plavix Tab. 75mg
엑스포지정 5/160mg,엑스포지정 5/160mg,Exforge Tab. 5/160mg
펠루비정(펠루비프로펜),,
아토르바정 10mg,,
라비에트정 20mg,라비에트정 20mg,Rabiet Tab.20mg
리피로우정 20mg,리피로우정 20mg,Lipilow Tab. 20mg
자누비아정 50mg,자누비아정 50mg,Januvia Tab. 50mg
맥시부펜이알정 300mg,맥시부펜이알정 300mg,Maxibupen Er Tab.
메가파워정 90mg/병,메가파워정 90mg/병,Mega Power Tab.
쿠에타핀정 25mg,,
비타비백정 100mg/병,비타비백정 100mg/병,Vita B 100 Tab.
놀텍정 10mg,,
자누메트정 50/850mg,자누메트정 50/850mg,JANUMET TAB 50/850
큐시드정 31.5mg/PTP,큐시드정 31.5mg/PTP,Q-Cid Tab.
아모잘탄정 5/100mg,아모잘탄정 5/100mg,Amosartan Tab 5/100mg
세비카정 10/40mg,세비카정 10/40mg,Sevikar Tab. 10/40mg
트윈스타정 40/5mg,트윈스타정 40/5mg,Twynsta Tab. 40/5mg
카나브정 60mg,카나브정 60mg,Kanarb Tab. 60mg
울트라셋이알서방정,,
졸로푸트정 100mg,졸로푸트정 100mg,Zoloft Tab. 100mg
트라젠타정(리나글립틴),트라젠타정(리나글립틴),Trajenta Tab.
비모보정 500/20mg,,
레일라정,레일라정,LAYLA TAB.
리바로정 4mg,리바로정 4mg,Livalo Tab. 4mg
렉사프로정 15mg,,
트라젠타듀오정 2.5/850mg,트라젠타듀오정 2.5/850mg,Trajenta-duo Tab. 2.5/850mg
낙소졸정 500/20mg,낙소졸정 500/20mg,Naxozole Tab. 500/20mg
아질렉트정(라사길린메실산염),아질렉트정(라사길린메실산염),Azilect Tab.
자누메트엑스알서방정 100/1000mg,,
글리아타민연질캡슐,글리아타민연질캡슐,
신바로정,,
에스원엠프정 20mg,,
브린텔릭스정 20mg,,
글리틴정(콜린알포세레이트),글리틴정(콜린알포세레이트),Glitin Tab.
제미메트서방정 50/1000mg,제미메트서방정 50/1000mg,Zemimet SR Tab. 50/1000mg
아토젯정 10/40mg,아토젯정 10/40mg,Atozet Tab. 10/40mg
로수젯정10/5밀리그램,로수젯정10/5밀리그램,Rosuzet Tab. 10/5mg
로수바미브정 10/20mg,,
카발린캡슐 25mg,카발린캡슐 25mg,Kabalin Cap. 25mg
케이캡정 50mg,,
